a,b,c,d
1995ar,0.465,41.81964684,0.610115607
1995aq,0.453,42.8441574,0.532970328
1994g,0.425,41.210761,0.494543626
2002ad,0.514,42.80720732,0.506403802
2002ab,0.423,41.5784932,0.253424499
2002x,0.859,44.11179493,0.302526443
2001kd,0.936,43.31105176,0.717608198
2001jp,0.528,42.47364713,0.250124518
2001jm,0.978,43.51019061,0.298988011
2001jh,0.885,44.20787551,0.292598571
2001jf,0.815,44.08591836,0.74694121
2001jb,0.698,43.79428522,0.440949943
2001iy,0.568,42.72809268,0.295573375
2001ix,0.711,43.58717864,0.374878171
2001iw,0.3396,41.09793001,0.232651192
2001iv,0.3965,41.49431253,0.207508246
2001hy,0.812,43.66553687,0.386258429
2001hx,0.799,43.37374846,0.238374333
2001hu,0.882,43.3697793,0.597150331
2001hs,0.833,43.69943078,0.531348209
2001fs,0.874,43.28872359,0.395564414
2001fo,0.772,43.53267432,0.22338406
1999dr,0.178,39.44626806,0.243792731
1999du,0.26,40.83620015,0.207808739
1999dv,0.186,39.72055963,0.19708555
1999dx,0.269,40.78780254,0.264144093
1999dy,0.215,40.39130251,0.201887086
2000fr,0.543,42.49241552,0.096509102
1998bi,0.75,43.25784413,0.137773519
1998be,0.64,42.77772472,0.189960701
1998ba,0.43,42.19967257,0.14852501
1998ay,0.64,43.18077096,0.194442979
1998ax,0.497,42.33262641,0.16822544
1998aw,0.44,42.01252931,0.106490971
1998as,0.355,41.34849694,0.203457956
1997ez,0.78,43.61206198,0.171350463
1997eq,0.54,42.43905069,0.110581935
1997ek,0.86,43.93755624,0.172897099
03D4au,0.468,42.54933256,0.165250053
04D4bk,0.84,43.90184715,0.225125911
04D3nr,0.96,43.61920334,0.27862078
04D3lu,0.8218,43.81248524,0.21562767
04D3ki,0.93,43.56040739,0.293679174
04D3gt,0.451,41.79624737,0.144017147
04D3do,0.61,42.90237168,0.157371079
04D3cp,0.83,44.05356036,0.211176417
04D2gp,0.707,43.31565144,0.259277417
04D2fp,0.415,41.87442513,0.141995153
04D1ag,0.557,42.576969,0.158128342
03D4fd,0.791,43.58712167,0.203347957
03D4cz,0.695,43.2116658,0.207672991
03D4at,0.633,43.08197155,0.171303726
03D3bh,0.2486,40.62390725,0.156001611
03D3af,0.532,42.57587079,0.167913176
03D1fc,0.331,41.06975895,0.138526073
03D1bp,0.346,41.35434128,0.153627204
04D4dw,0.961,44.26454011,0.345401297
04D4an,0.613,42.98458105,0.166247668
04D3nh,0.3402,41.35490329,0.136350904
04D3lp,0.983,44.18932493,0.441320918
04D3is,0.71,43.0248981,0.185960509
04D3fq,0.73,43.30706875,0.196706402
04D3df,0.47,42.14219237,0.154395011
04D3co,0.62,43.03978429,0.171049818
04D2gc,0.521,42.19857238,0.1621672
04D2cf,0.369,41.62940172,0.153837948
03D4gl,0.571,42.42896505,0.175419559
03D4dy,0.604,42.55249846,0.160870192
03D4cy,0.9271,43.96664946,0.290419778
03D4ag,0.285,40.85111464,0.137402735
03D3ba,0.2912,40.82209722,0.147860253
03D1gt,0.548,42.29637758,0.190445812
03D1ew,0.868,43.51710931,0.249257747
03D1ax,0.496,42.20967428,0.154020408
04D4dm,0.811,43.42740965,0.212840469
04D3oe,0.756,43.8419721,0.194569635
04D3nc,0.817,43.67873605,0.212381883
04D3ks,0.752,43.33349154,0.20904577
04D3hn,0.5516,42.28988065,0.150278973
04D3fk,0.3578,41.42147179,0.136956742
04D3dd,1.01,44.03719936,0.380891046
04D2ja,0.741,43.71602735,0.225350071
04D2gb,0.43,41.80548322,0.152228806
04D1ak,0.526,42.40953092,0.168434414
03D4gg,0.592,42.56526984,0.173662227
03D4di,0.905,43.66219005,0.260816306
03D4cx,0.949,43.43197143,0.288339749
03D3cd,0.4607,42.09727767,0.180730669
03D3ay,0.3709,41.66403017,0.155882981
03D1fq,0.8,43.71025388,0.217280907
03D1co,0.679,43.48610359,0.197639177
03D1aw,0.5817,42.69837207,0.160984148
04D4bq,0.55,42.2953526,0.156209026
04D3ny,0.81,43.37377786,0.21518191
04D3ml,0.95,43.99249308,0.295133719
04D3kr,0.3373,41.32177106,0.138055964
04D3gx,0.91,44.32681988,0.270806993
04D3ez,0.263,40.6244185,0.135415119
04D3cy,0.643,43.0199767,0.167688952
04D2iu,0.691,43.0987782,0.256534769
04D2fs,0.357,41.45031019,0.138574993
04D1aj,0.721,43.18747602,0.18859522
03D4gf,0.581,42.77337071,0.156453875
03D4dh,0.6268,42.78744538,0.158306777
03D4cn,0.818,43.40409742,0.27125777
03D3cc,0.4627,42.05418145,0.148626981
03D3aw,0.449,42.01960276,0.158124901
03D1fl,0.688,43.07049586,0.166956994
03D1cm,0.87,44.24060746,0.281601232
03D1au,0.5043,42.36552383,0.150611417
b010,0.591,43.22541045,0.308183443
b013,0.426,41.77352141,0.225954757
b016,0.329,41.34267963,0.273050417
d058,0.583,42.40540338,0.288536339
d084,0.519,43.08433408,0.316956306
d085,0.401,41.70525991,0.230531444
d086,0.205,39.90807448,0.219199816
d087,0.34,41.22882194,0.229672712
d089,0.436,41.89467162,0.217391699
d093,0.363,41.56828037,0.208915366
d097,0.436,41.93535808,0.229406366
d117,0.309,41.18336483,0.238102447
d149,0.342,41.39617822,0.215459945
e020,0.159,39.41073798,0.246358908
e029,0.332,41.26767563,0.240709017
e108,0.469,42.3702691,0.283065431
e132,0.239,40.25741282,0.205242396
e136,0.352,41.43188617,0.225170629
e138,0.612,42.82468558,0.284735745
e140,0.631,42.38652657,0.245972087
e147,0.645,42.8351146,0.235393706
e148,0.429,41.90597827,0.216241856
e149,0.497,42.08846311,0.222751848
f011,0.539,42.23779842,0.243223346
f041,0.561,42.88584373,0.307329016
f076,0.41,41.35810758,0.259435785
f096,0.412,41.42325108,0.315186987
f216,0.599,42.76105775,0.386382184
f231,0.619,43.07109152,0.249438141
f235,0.422,41.74587883,0.232044817
f244,0.54,42.52459325,0.28496026
f308,0.401,42.56277224,0.371779827
g005,0.218,40.0720006,0.22412241
g050,0.633,42.21072216,0.26156576
g052,0.383,41.66200324,0.253453217
